TNS_ID,ZTF_ID,type,Days_ago,g_minus_r_mean,g_minus_r_latest,g,r,latest_utc,N_obs,N_obs_14_day,rising,fading,sherlock,offsetArcsec,g_max,r_max,g_host,r_host,g_minus_r_host,sg_score,disc_mjd,latest_mjd,ra,decl
2023abqr,ZTF23abpnjqk,,53.83885740162805,-0.35,-0.4,20.4894,20.8905,2023-11-08T11:30:39.997436,1,1,rising/peak,,SN,2.81,20.4894,20.8905,20.6018,20.7534,-0.15,0.02475,60253.4,60256.5,113.42282093333334,37.0593417
2023abmr,ZTF23abvokjt,,2.1384639013558626,-0.02,-0.11,19.2232,19.3376,2023-12-29T04:17:46.999671,4,4,,,SN,3.75,19.2232,19.2479,19.6966,18.9797,0.72,0.121524,60307.2,60307.2,23.73998935,29.716434775000003
2023abqv,ZTF23absetxr,,18.16096390131861,0.07,0.02,20.0783,20.0574,2023-12-13T05:58:03.999343,2,2,,fading,SN,3.04,19.9883,19.8562,20.3228,19.3747,0.95,,60287.2,60291.2,24.68214368,27.78160906
2023abot,ZTF23abuddhd,,15.90895000146702,-0.0,0.06,20.5331,20.4767,2023-12-16T09:57:18.996475,1,1,rising/peak,,SN,4.47,20.4443,20.4767,20.6934,19.9798,0.71,0.0320536,60292.4,60294.4,117.53826766666667,12.132042466666666
2023abnj,ZTF23absgqhq,,13.892051901202649,0.09,0.15,20.4464,20.2954,2023-12-15T11:47:45.997421,1,1,rising/peak,,SN,3.1,20.4125,20.2538,21.3581,21.023,0.34,0.00708333,60287.3,60293.5,124.20396482999999,55.55353539
2023abmf,ZTF23absptym,,13.892051901202649,0.48,0.27,20.4814,20.216,2023-12-15T11:47:45.997421,5,5,,fading,NT,1.47,20.4814,19.9975,19.3475,18.9715,0.38,0.005,60291.3,60293.5,121.45148788571427,52.37703515714286
2023abnb,ZTF23abvnahb,SN Ia,16.07676250161603,0.94,0.95,17.1955,16.2432,2023-12-29T04:16:24.997421,2,2,,,SN,3.32,17.1301,16.1934,16.313,15.5405,0.77,0.5,60305.1,60307.2,31.230817125,28.9877344
2023abnk,ZTF23abrynhq,,44.18432040140033,,,,19.8776,2023-12-06T03:13:28.004150,1,1,,,SN,0.89,,19.8776,19.682,19.4749,0.21,0.001875,60284.1,60284.1,332.5196692,11.1003522
2023abnm,ZTF23abrrkeh,,19.119551901239902,,,,20.1169,2023-12-12T03:29:27.000953,2,2,,,SN,1.01,,20.1042,19.3158,19.4541,-0.14,0.0105,60284.2,60290.1,348.70532560000004,26.571345299999997
2023absv,ZTF23abvrjps,,10.84025790123269,,,,19.6037,2023-12-28T09:40:51.997444,1,1,,,SN,3.36,,19.6037,20.8547,20.6335,0.22,0.000833333,60306.4,60306.4,158.1350003,39.9358604
2023absx,ZTF23abvnhgg,,2.212595901452005,,,18.2372,,2023-12-27T04:10:51.000961,1,1,,,SN,4.24,18.2372,,19.1589,18.5448,0.61,0.00625,60305.2,60305.2,20.0338064,1.137165
