TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Gal_1_type,Gal_1_name,Gal_1_info,Reporter,SDSS_image
2024mwb,09:08:48.120,-09:08:58.63,2024-06-24 03:48:57.600,2024-06-27,17.66,ABMag,G - Gaia,0.07,GtowardsCl,2MASX J09084811-0908587,['2MASX J09084811-0908587' '137.2' '-9.15' '0.07' 'inf' 'GtowardsCl' 'GiC'],S.T. Hodgkin,No
2024mvd,14:29:33.321,-09:33:40.54,2024-06-24 05:34:53.002,2024-06-27,18.1334,ABMag,g - ZTF,0.182,LINER,2MASX J14293327-0933405,"['2MASX J14293327-0933405' '217.389' '-9.561' '0.182' '0.113' 'LINER'
 'LIN']",Nabeel Rehemtulla (CIERA,No
2023adwu,15:04:58.432,+01:34:53.09,2023-08-16 04:09:42.001,2024-06-27,16.8693,ABMag,r - ZTF,0.182,GtowardsGroup,2MASX J15045841+0134525,"['2MASX J15045841+0134525' '226.243' '1.581' '0.182' 'inf' 'GtowardsGroup'
 'GiG']",Neil Pichay (Caltech,Yes
2024mwr,13:32:44.746,+56:42:50.14,2024-06-26 05:56:41.000,2024-06-27,19.628,ABMag,g - ZTF,0.537,Galaxy,Gaia DR3 1565623679425435648,"['Gaia DR3 1565623679425435648' '203.187' '56.714' '0.537' 'inf' 'Galaxy'
 'G']",I. Pérez-Fournon,No
2024mwv,13:16:29.571,+33:40:42.57,2024-06-26 07:45:10.656,2024-06-27,18.791,ABMag,orange - ATLAS,0.58,Galaxy,2MASX J13162949+3340421,['2MASX J13162949+3340421' '199.123' '33.678' '0.58' 'inf' 'Galaxy' 'G'],J. Tonry,Yes
2024mwo,16:17:15.251,+34:58:46.73,2024-06-26 07:20:38.000,2024-06-27,19.778,ABMag,r - ZTF,0.733,Galaxy,LEDA 2057557,['LEDA 2057557' '244.313' '34.979' '0.733' 'inf' 'Galaxy' 'G'],I. Pérez-Fournon,Yes
2024mwn,14:06:33.647,+25:02:53.06,2024-06-13 05:33:52.004,2024-06-27,18.7535,ABMag,g - ZTF,0.963,RadioG,FIRST J140633.6+250252,['FIRST J140633.6+250252' '211.64' '25.048' '0.963' 'inf' 'RadioG' 'rG'],Kate Bostow (UC Berkeley),Yes
2024mwp,14:20:12.484,+39:37:37.82,2024-06-25 05:44:29.000,2024-06-27,18.966,ABMag,g - ZTF,0.987,Galaxy,LEDA 2153091,['LEDA 2153091' '215.052' '39.627' '0.987' 'inf' 'Galaxy' 'G'],I. Pérez-Fournon,Yes
2018mno,20:36:33.413,-17:38:08.46,2018-11-08 03:27:55.002,2024-06-27,20.2421,ABMag,g - ZTF,1.703,Galaxy,LEDA  880049,['LEDA  880049' '309.139' '-17.636' '1.703' 'inf' 'Galaxy' 'G'],Daniel Perley (LJMU),No
2024mwu,15:09:20.928,+21:10:54.81,2024-06-01 06:57:41.000,2024-06-27,20.893,ABMag,g - ZTF,2.684,Galaxy,LEDA 1644580,['LEDA 1644580' '227.338' '21.182' '2.684' 'inf' 'Galaxy' 'G'],I. Pérez-Fournon,No
2024muv,12:49:02.452,-08:39:51.19,2024-06-26 04:32:59.003,2024-06-27,14.4692,ABMag,i - ZTF,3.956,EmissionG,NGC  4699,['NGC  4699' '192.259' '-8.664' '3.956' '0.374' 'EmissionG' 'EmG'],Jesper Sollerman (SU),No
2024mwy,17:16:03.326,+40:21:44.74,2024-06-23 07:29:42.003,2024-06-27,20.1263,ABMag,r - ZTF,3.964,Galaxy,2MASX J17160361+4021440,['2MASX J17160361+4021440' '259.015' '40.362' '3.964' 'inf' 'Galaxy' 'G'],A. Munoz-Arancibia,No
2024mwd,22:02:00.144,+24:10:51.74,2024-06-23 12:25:00.768,2024-06-27,19.05,ABMag,i - P1,4.001,Galaxy,2MASX J22020021+2410481,['2MASX J22020021+2410481' '330.501' '24.18' '4.001' 'inf' 'Galaxy' 'G'],K. C. Chambers,No
2024mxa,12:52:30.411,+04:09:40.34,2024-06-22 05:08:51.003,2024-06-27,19.7997,ABMag,g - ZTF,4.019,Galaxy,LEDA 1264383,['LEDA 1264383' '193.126' '4.162' '4.019' 'inf' 'Galaxy' 'G'],A. Munoz-Arancibia,Yes
2024mvk,23:04:01.994,+34:00:51.84,2024-06-25 10:57:41.999,2024-06-27,19.5771,ABMag,g - ZTF,4.496,Galaxy,2MASX J23040165+3400537,['2MASX J23040165+3400537' '346.007' '34.015' '4.496' 'inf' 'Galaxy' 'G'],Jesper Sollerman (SU),No
