TNS_ID,ZTF_ID,type,Days_ago,g_minus_r_mean,g_minus_r_latest,g,r,latest_utc,N_obs,N_obs_14_day,rising,fading,sherlock,offsetArcsec,g_max,r_max,g_host,r_host,g_minus_r_host,sg_score,disc_mjd,latest_mjd,ra,decl
2018mhd,ZTF18aaxqwnd,,935.9892401481048,-0.13,-1.73,18.5943,20.3272,2021-06-06T08:52:56.000648,8.0,,,fading,SN,0.9,18.5943,19.7436,19.8224,19.2049,0.62,,58272.2,59371.4,245.67487095169275,31.6647975998828
2023wqa,ZTF23abojorz,,18.15197593718767,-0.66,-1.15,19.375,20.52,2023-12-13T03:46:49.002227,4.0,1.0,,fading,SN,0.32,19.375,19.445,21.2761,20.6985,0.58,0.010625,60262.2,60291.2,28.71228952,26.94217994
2023wea,ZTF23abnyvka,SN Ia,39.08098177332431,-0.4,-1.05,18.2254,19.2705,2023-12-09T03:52:56.003532,7.0,1.0,,fading,NT,1.44,18.0294,18.1996,19.6026,18.8093,0.79,0.013119,60258.3,60287.2,16.1661465125,-2.1233613250000003
2023vub,ZTF23abmpqvv,SN Ia,17.858447994105518,-0.86,-0.99,18.4758,19.467,2023-12-13T09:09:32.002571,2.0,1.0,,fading,SN,2.75,18.4758,19.2003,18.9734,18.48,0.49,0.0672083,60262.4,60291.4,140.69587249999998,19.705151466666667
2024alw,ZTF24aaaantu,,12.85786457080394,-0.9,-0.9,18.7856,19.6821,2024-01-18T03:24:58.996818,2.0,1.0,rising/peak,,NT,0.23,18.7856,19.6821,19.0814,18.3104,0.77,0.00375,60311.1,60327.1,0.0916239,-2.8590893
2023vyx,ZTF23abnpjlt,SN Ia,23.198750872164965,-0.23,-0.87,18.8916,19.7617,2023-12-06T03:32:25.002243,6.0,1.0,,fading,SN,2.76,18.725,18.8142,20.8262,20.2635,0.56,0.0609435,60254.1,60284.1,320.184903125,-9.52175365
2023xod,ZTF23abnkhub,SN Ia,19.853906145319343,-0.9,-0.86,18.7407,19.6045,2023-12-09T11:33:31.000328,2.0,1.0,,,SN,0.88,18.6653,19.6045,21.8695,-999.0,1020.87,0.00375,60260.5,60287.5,180.9355881666667,35.66725293333334
2024ehz,ZTF24aafaxvf,,6.701181730721146,-0.27,-0.86,19.4759,20.3351,2024-03-10T08:55:09.998397,6.0,2.0,,fading,AGN,0.22,19.4759,20.0279,20.4649,19.9898,0.48,,60351.4,60379.4,222.3973725142857,23.23861084285714
2024ou,ZTF24aaarwvc,,0.5073935394175351,-0.83,-0.83,19.7877,20.6187,2024-01-06T13:20:27.003829,1.0,1.0,rising/peak,,SN,0.89,19.7877,20.6187,22.1752,21.915,0.26,0.00729167,60311.6,60315.6,239.4884242,33.794402000000005
2024ezp,ZTF24aahsykx,,5.556213714648038,-0.34,-0.81,19.0591,19.8647,2024-03-27T10:25:43.996803,1.0,1.0,rising/peak,,SN,0.08,19.0591,19.8647,21.7304,21.2548,0.48,,60389.5,60396.4,263.51620486666667,25.546420766666667
2023wvq,ZTF23abovvas,SN Ia,56.08747752895579,-0.26,-0.8,18.1408,18.9422,2023-12-07T03:06:47.998069,10.0,1.0,,fading,VS,0.59,17.8699,18.0661,17.9236,17.2977,0.63,0.0635,60255.2,60285.1,312.32102089,2.2244303700000003
